number,kind,title,category,evidence,linked_fix_prs,status
132,issue,Test Reliability: Investigate flake in conn_test.go (TestConn),networking/proxy/websocket,…ub.com/coder/coder/runs/5029178872?check_suite_focus=true#step:7:85 - `TestConn/PeerConcurrent` - https://github.com/coder/coder/runs/5025739523?check_suite_focus=true#step:7:31 - `TestConn/NetConn` - https://github.com/coder/coder/runs/5028720293?check_suite_focus=true#step:7:87 The relevant part of this log seems to be: ``` t.go:56: 2022-02-01 18:04:44.677 [DE Test Reliability: Investigate flake in conn_test.go (Te…,,closed
382,issue,Fix provisionerd test flake panic,workspace/agent lifecycle,Fix provisionerd test flake panic https://github.com/coder/coder/runs/5364357063?check_suite_focus=true#step:7:198 Fix provisionerd test flake panic https://github.com/coder/coder/runs/5364357063?check_suite_focus=true#step:7:198 PR #383: test: Fix test flake panic in provisionerd Closes #382.,#383,closed; linked_fix_merged
388,issue,Investigate test flake for allocating ports with PostgreSQL Docker,database/transactions/migrations,Investigate test flake for allocating ports with PostgreSQL Docker https://github.com/coder/coder/runs/5375197003?check_suite_focus=true#step:9:52 Investigate test flake for allocating ports with PostgreSQL Docker https://github.com/coder/coder/runs/5375197003?check_suite_focus=true#step:9:52 PR #389: test: Add mutex to opening PostgreSQL ports to prevent collision Closes #388.,#389,closed; linked_fix_merged
998,issue,Bug: Flake tests for coder / test/go (windows-2022) job,platform/os-specific CI behavior,Bug: Flake tests for coder / test/go (windows-2022) job Failing job: https://github.com/coder/coder/runs/6012008795?check_suite_focus=true Bug: Flake tests for coder / test/go (windows-2022) job Failing job: https://github.com/coder/coder/runs/6012008795?check_suite_focus=true This is not happening anymore so I'm closing this.,,closed
1368,issue,Bug: test flake - Test/go/PostgreSQL TestWorkspaceAgentPTY ,workspace/agent lifecycle,"Bug: test flake - Test/go/PostgreSQL TestWorkspaceAgentPTY ## Expected TestWorkspaceAgentPTY should consistently succeed or fail ## Actual after failure, rerunning the test causes it to succeed ## Logs https://github.com/coder/coder/actions/runs/2302105303/attempts/1 Bug: test flake - Test/go/PostgreSQL TestWorkspaceAgentPTY ## Expected TestWorkspaceAgentPTY should consistently succeed or fail ## Actual after failure…",#1562,closed; linked_fix_merged
1644,issue,flake: peer TestConn/Buffering,networking/proxy/websocket,"…""arm64"" GOHOSTOS=""darwin"" GOINSECURE="""" GOMODCACHE=""/Users/cian/go/pkg/mod"" GONOPROXY="""" GONOSUMDB="""" GOOS=""darwin"" GOPATH=""/Users/cian/go"" GOPRIVATE="""" GOPROXY=""https://proxy.golang.org,direct"" GOROOT=""/opt/homebrew/Cellar/go/1.18.2/libexec"" GOSUMDB=""sum.golang.org"" GOTMPDIR="""" GOTOOLDIR=""/opt/homebrew/Cell flake: peer TestConn/Buffering ``` GO111MODULE="""" GOARCH=""arm64"" GOBIN="""" GOCACHE=""/Users/cian/Library/Caches/…",#1774;#3086,closed; linked_fix_merged
1698,issue,`TestPortForward/UDP/TwoPorts` test flake,networking/proxy/websocket,"`TestPortForward/UDP/TwoPorts` test flake https://github.com/coder/coder/runs/6563995579?check_suite_focus=true ``` portforward_test.go:224: Error Trace: portforward_test.go:224 asm_amd64.s:1571 Error: Target error should be in err chain: expected: ""context canceled"" in chain: ""listen 'udp://127.0.0.1:41861': listen udp 127.0.0.1:41861: bind: address already in use"" ""listen udp 127.0.0.1:41861: bind: address already …",,closed
2335,issue,test flake: coderd/devtunnel TestTunnel,resource exhaustion/timeout,"…890362136?check_suite_focus=true#step:10:76)-144da60e49d9.wg-tunnel.coder.app"": context deadline exceeded (Client.T test flake: coderd/devtunnel TestTunnel c.f. https://github.com/coder/coder/actions/runs/2498710623/attempts/1 ``` === FAIL: coderd/devtunnel TestTunnel (159.50s) tunnel_test.go:47: https://fcca5909-53f1-4de6-a275-144da60e49d9.wg-tunnel.coder.app/ tunnel_test.go:61: Error Trace: tunnel_test.go:61 asm_am…",#3050,closed; linked_fix_merged
2347,issue,CI test/go/postgres is flaky,database/transactions/migrations,"CI test/go/postgres is flaky these tests are timing out en-mass on many runs, e.g. https://github.com/coder/coder/actions/runs/2502674150/attempts/2 Need to investigate, but some possible issues: * we set parallel=1 and timeout=5m --- are these tests just taking too long? * are any postgres workers getting OOM killed? * are there deadlocks in parallel tests? * does it matter that we don't clean up test databases when…",#2413,closed; linked_fix_merged
2475,issue,cli test flake TestServer/Telemetry,test isolation/order dependency,…etry ``` === Failed === FAIL: cli TestServer/Telemetry (0.01s) testing.go:1090: TempDir RemoveAll cleanup: unlinkat /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/TestServerTelemetry4245994242/001: directory not empty --- FAIL: TestServer/Telemetry (0.01s) === FAIL: cli TestServer (0.03s) ``` more details at https://github.com/coder/coder/actions/runs/2517125335/attempts/1 cli test flake TestServer/Telemetry ``` ==…,,closed
